Generated by pymatgen.io.lammps.data.LammpsData

3200  atoms

   4  atom types

0.000000 22.461078  xlo xhi
0.000000 53.608416  ylo yhi
0.000000 31.862463  zlo zhi
5.170074 -0.677431 4.256297  xy xz yz

Masses

1   6.9410
2  51.9961
3  28.0855
4  15.9994

Atoms

497   2  1.5750 20.565126  5.057493  7.026804
498   2  1.5750 20.395768  6.121567 14.992420
499   2  1.5750 20.226410  7.185642 22.958036
500   2  1.5750 20.057053  8.249716 30.923651
501   2  1.5750 21.857644 18.459597  7.026804
502   2  1.5750 21.688286 19.523671 14.992420
503   2  1.5750 21.518929 20.587746 22.958036
504   2  1.5750 21.349571 21.651820 30.923651
505   2  1.5750 23.150162 31.861701  7.026804
506   2  1.5750 22.980805 32.925775 14.992420
507   2  1.5750 22.811447 33.989850 22.958036
508   2  1.5750 22.642090 35.053924 30.923651
509   2  1.5750 24.442681 45.263805  7.026804
510   2  1.5750 24.273323 46.327879 14.992420
511   2  1.5750 24.103966 47.391954 22.958036
512   2  1.5750 23.934608 48.456028 30.923651
513   2  1.5750  1.641241 11.232361  3.036142
514   2  1.5750  1.471883 12.296435 11.001758
515   2  1.5750  1.302525 13.360509 18.967374
516   2  1.5750  1.133168 14.424584 26.932989
517   2  1.5750  2.933759 24.634465  3.036142
518   2  1.5750  2.764401 25.698539 11.001758
519   2  1.5750  2.595044 26.762613 18.967374
520   2  1.5750  2.425686 27.826688 26.932989
521   2  1.5750  4.226277 38.036569  3.036142
522   2  1.5750  4.056920 39.100643 11.001758
523   2  1.5750  3.887562 40.164718 18.967374
524   2  1.5750  3.718205 41.228792 26.932989
525   2  1.5750  5.518796 51.438673  3.036142
526   2  1.5750  5.349438 52.502747 11.001758
527   2  1.5750  5.180081 53.566822 18.967374
528   2  1.5750  5.010723 54.630896 26.932989
529   2  1.5750  7.256510 11.232361  3.036142
530   2  1.5750  7.087152 12.296435 11.001758
531   2  1.5750  6.917795 13.360509 18.967374
532   2  1.5750  6.748437 14.424584 26.932989
533   2  1.5750  8.549029 24.634465  3.036142
534   2  1.5750  8.379671 25.698539 11.001758
535   2  1.5750  8.210313 26.762613 18.967374
536   2  1.5750  8.040956 27.826688 26.932989
537   2  1.5750  9.841547 38.036569  3.036142
538   2  1.5750  9.672189 39.100643 11.001758
539   2  1.5750  9.502832 40.164718 18.967374
540   2  1.5750  9.333474 41.228792 26.932989
541   2  1.5750 11.134065 51.438673  3.036142
542   2  1.5750 10.964708 52.502747 11.001758
543   2  1.5750 10.795350 53.566822 18.967374
544   2  1.5750 10.625992 54.630896 26.932989
545   2  1.5750 12.871780 11.232361  3.036142
