Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.838570  xlo xhi
0.000000 29.758665  ylo yhi
0.000000 36.477960  zlo zhi
0.032340 -12.850355 -7.418770  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

419   1  0.5250  -0.365581 15.638222 23.102141
420   1  0.5250  -2.935652 14.154468 30.397733
421   1  0.5250   7.351100 26.041217  1.215365
422   1  0.5250   4.781029 24.557463  8.510957
423   1  0.5250   2.210958 23.073709 15.806549
424   1  0.5250  -0.359113 21.589955 23.102141
425   1  0.5250  -2.929184 20.106201 30.397733
426   1  0.5250  12.492942  2.234285  1.215365
427   1  0.5250   9.922871  0.750531  8.510957
428   1  0.5250   7.352800 -0.733223 15.806549
429   1  0.5250   4.782729 -2.216977 23.102141
430   1  0.5250   2.212658 -3.700731 30.397733
431   1  0.5250  12.499410  8.186018  1.215365
432   1  0.5250   9.929339  6.702264  8.510957
433   1  0.5250   7.359268  5.218510 15.806549
434   1  0.5250   4.789197  3.734756 23.102141
435   1  0.5250   2.219126  2.251002 30.397733
436   1  0.5250  12.505878 14.137751  1.215365
437   1  0.5250   9.935807 12.653997  8.510957
438   1  0.5250   7.365736 11.170243 15.806549
439   1  0.5250   4.795665  9.686489 23.102141
440   1  0.5250   2.225594  8.202735 30.397733
441   1  0.5250  12.512346 20.089484  1.215365
442   1  0.5250   9.942275 18.605730  8.510957
443   1  0.5250   7.372204 17.121976 15.806549
444   1  0.5250   4.802133 15.638222 23.102141
445   1  0.5250   2.232062 14.154468 30.397733
446   1  0.5250  12.518814 26.041217  1.215365
447   1  0.5250   9.948743 24.557463  8.510957
448   1  0.5250   7.378672 23.073709 15.806549
449   1  0.5250   4.808601 21.589955 23.102141
450   1  0.5250   2.238530 20.106201 30.397733
451   1  0.5250  17.660656  2.234285  1.215365
452   1  0.5250  15.090585  0.750531  8.510957
453   1  0.5250  12.520514 -0.733223 15.806549
454   1  0.5250   9.950443 -2.216977 23.102141
455   1  0.5250   7.380372 -3.700731 30.397733
456   1  0.5250  17.667124  8.186018  1.215365
